32, ,space
33,!,exclamation point
34,"""",double quotes
35,#,number sign
36,$,dollar sign
37,%,percent sign
38,&,ampersand
39,',single quote
40,(,opening parenthesis
41,),closing parenthesis
42,*,asterisk
43,+,plus sign
44,",",comma
45,-,minus sign - hyphen
46,.,period
47,/,slash
48,0,zero
49,1,one
50,2,two
51,3,three
52,4,four
53,5,five
54,6,six
55,7,seven
56,8,eight
57,9,nine
58,:,colon
59,;,semicolon
60,<,less than sign
61,=,equal sign
62,>,greater than sign
63,?,question mark
64,@,at symbol
65,A,A
66,B,B
67,C,C
68,D,D
69,E,E
70,F,F
71,G,G
72,H,H
73,I,I
74,J,J
75,K,K
76,L,L
77,M,M
78,N,N
79,O,O
80,P,P
81,Q,Q
82,R,R
83,S,S
84,T,T
85,U,U
86,V,V
87,W,W
88,X,X
89,Y,Y
90,Z,Z
91,[,opening bracket
92,\,backslash
93,],closing bracket
94,^,caret - circumflex
95,_,underscore
177,`,grave accent
97,a,a
98,b,b
99,c,c
100,d,d
101,e,e
102,f,f
103,g,g
104,h,h
105,i,i
106,j,j
107,k,k
108,l,l
109,m,m
110,n,n
111,o,o
112,p,p
113,q,q
114,r,r
115,s,s
116,t,t
117,u,u
118,v,v
119,w,w
120,x,x
121,y,y
122,z,z
123,{,opening brace
124,|,vertical bar
125,},closing brace
126,~,equivalency sign - tilde
127,,(not defined in HTML 4 standard)
160,,non-breaking space
161,¡,inverted exclamation mark
162,¢,cent sign
163,£,pound sign
164,_,currency sign
165,¥,yen sign
166,_,broken vertical bar
167,§,section sign
168,¨,spacing diaeresis - umlaut
169,©,copyright sign
170,ª,feminine ordinal indicator
171,«,left double angle quotes
172,¬,not sign
173,_,soft hyphen
174,®,registered trade mark sign
175,¯,spacing macron - overline
176,°,degree sign
96,±,plus-or-minus sign
178,_,superscript two - squared
179,_,superscript three - cubed
180,´,acute accent - spacing acute
181,µ,micro sign
182,¶,pilcrow sign - paragraph sign
183,·,middle dot - Georgian comma
184,¸,spacing cedilla
185,_,superscript one
186,º,masculine ordinal indicator
187,»,right double angle quotes
188,_,fraction one quarter
189,_,fraction one half
190,_,fraction three quarters
191,¿,inverted question mark
192,À,atin capital letter A with grave
193,Á,latin capital letter A with acute
194,Â,latin capital letter A with circumflex
195,Ã,latin capital letter A with tilde
196,Ä,latin capital letter A with diaeresis
197,Å,latin capital letter A with ring above
198,Æ,latin capital letter AE
199,Ç,latin capital letter C with cedilla
200,È,latin capital letter E with grave
201,É,latin capital letter E with acute
202,,latin capital letter E with circumflex
203,Ë,latin capital letter E with diaeresis
204,Ì,latin capital letter I with grave
205,Í,latin capital letter I with acute
206,Î,latin capital letter I with circumflex
207,Ï,latin capital letter I with diaeresis
208,_,latin capital letter ETH
209,Ñ,latin capital letter N with tilde
210,Ò,latin capital letter O with grave
211,Ó,latin capital letter O with acute
212,Ô,latin capital letter O with circumflex
213,Õ,latin capital letter O with tilde
214,Ö,latin capital letter O with diaeresis
215,_,multiplication sign
216,Ø,latin capital letter O with slash
217,Ù,latin capital letter U with grave
218,Ú,latin capital letter U with acute
219,Û,latin capital letter U with circumflex
220,Ü,latin capital letter U with diaeresis
221,_,latin capital letter Y with acute
222,_,latin capital letter THORN
223,ß,latin small letter sharp s - ess-zed
224,à,latin small letter a with grave
225,á,latin small letter a with acute
226,â,latin small letter a with circumflex
227,ã,latin small letter a with tilde
228,ä,latin small letter a with diaeresis
229,å,latin small letter a with ring above
230,æ,latin small letter ae
231,ç,latin small letter c with cedilla
232,è,latin small letter e with grave
233,é,latin small letter e with acute
234,ê,latin small letter e with circumflex
235,ë,latin small letter e with diaeresis
236,ì,latin small letter i with grave
237,í,latin small letter i with acute
238,î,latin small letter i with circumflex
239,ï,latin small letter i with diaeresis
240,_,latin small letter eth
241,ñ,latin small letter n with tilde
242,ò,latin small letter o with grave
243,ó,latin small letter o with acute
244,ô,latin small letter o with circumflex
245,õ,latin small letter o with tilde
246,ö,latin small letter o with diaeresis
247,÷,division sign
248,ø,latin small letter o with slash
249,ù,latin small letter u with grave
250,ú,latin small letter u with acute
251,û,latin small letter u with circumflex
252,ü,latin small letter u with diaeresis
253,_,latin small letter y with acute
254,_,latin small letter thorn
255,ÿ,latin small letter y with diaeresis
